Member State,Year,Fund,Total Paid,Advance,Interim,Absorption (%)
Estonia,2009,CF,86996496.98,46069257.84,40927239.14,14.05
Latvia,2009,ESF,41893776.22,22026148.68,19867627.54,11.91
Cyprus,2011,CF,33998576.44,0,33998576.44,44.03
Malta,2007,ESF,2240000,2240000,0,2
France,2009,ERDF,607649042.32,201366826.62,406282215.7,12.55
Portugal,2008,ESF,199539991.38,195371635.95,4168355.43,4.81
Sweden,2014,ERDF,133471896.93,0,133471896.93,89.86
Romania,2010,CF,175172828.47,131048460.56,44124367.91,13.86
Cyprus,2014,CF,54811803.28,0,54811803.28,75.66
Denmark,2013,ERDF,0,0,0,50.79
Spain,2011,ERDF,2916714891.1,0,2916714891.1,33.28
Romania,2013,TOTAL,2884470134.12,0,2884470134.12,38.31
Spain,2012,ESF,1350908214.66,0,1350908214.66,54.3
Bulgaria,2012,CF,317888063.76,0,317888063.76,36.45
Croatia,2013,ERDF,43240924.89,0,43240924.89,22.99
Greece,2009,ERDF,856327130.15,303732504.45,552594625.7,12.05
Denmark,2011,ESF,28857640.02,0,28857640.02,34.18
Portugal,2007,CF,61199310.5,61199310.5,0,2
Luxembourg,2010,TOTAL,2997378.57,0,2997378.57,16.06
Finland,2008,TOTAL,47878981.32,47878981.32,0,5
Finland,2009,ERDF,114476903.66,24435049.51,90041854.15,16.71
Austria,2012,TOTAL,156744851.86,0,156744851.86,53.74
Slovenia,2009,TOTAL,325614612.44,164041945.44,161572667,13.46
Romania,2016,CF,995550188.76,0,995550188.76,89.66
Lithuania,2014,CF,399084166.68,0,399084166.68,95
Spain,2013,CF,316127930.22,0,316127930.22,72.69
Estonia,2011,ESF,28317542.95,0,28317542.95,46.54
Greece,2008,TOTAL,601543831.26,601543831.26,0,4.96
Austria,2014,TOTAL,132268788.86,0,132268788.86,80.33
Slovakia,2015,ERDF,1302361802.63,0,1302361802.63,80.78
Lithuania,2008,CF,92209429.72,92209429.72,0,6.5
Greece,2012,TOTAL,2888843188.48,0,2888843188.48,49.23
Germany,2007,TOTAL,509772325.8,509772325.8,0,2
Latvia,2014,CF,323953441.41,0,323953441.41,80.41
Finland,2009,ESF,69637898.78,15464101.6,54173797.18,16.26
France,2010,ESF,535728197.51,0,535728197.51,24.87
Estonia,2013,ESF,64243686.06,0,64243686.06,89.9
Portugal,2014,CF,618631791.95,0,618631791.95,92.12
Sweden,2014,TOTAL,344723151.98,0,344723151.98,89.89
Portugal,2008,ERDF,356897972.42,356897972.42,0,5.15
Slovenia,2011,ESF,70738137.96,0,70738137.96,32.64
EU28,2007,CF,1574682674.64,1574682674.64,0,2.26
Denmark,2015,ESF,36067252.75,0,36067252.75,95
Netherlands,2008,TOTAL,49800082.11,49800082.11,0,5
Luxembourg,2011,ESF,5228462.04,0,5228462.04,35.19
Italy,2011,ESF,708255624.01,0,708255624.01,29.12
Latvia,2015,CF,224656198.34,0,224656198.34,95
Cyprus,2009,ESF,4956340.98,4790766.16,165574.82,9.14
Poland,2009,TOTAL,5155672515.37,2608874119.68,2546798395.69,13.02
Malta,2009,ERDF,19395994.34,17759121.24,1636873.1,9.37
Finland,2014,ESF,81359492.62,0,81359492.62,91.72
Lithuania,2012,CF,354992288.86,0,354992288.86,62.06
Poland,2010,ESF,966715587.95,0,966715587.95,23.92
Slovenia,2013,ERDF,259695374.41,0,259695374.41,76.48
Luxembourg,2014,TOTAL,8066891.22,0,8066891.22,83.81
Italy,2014,ESF,1006383195.57,0,1006383195.57,77.76
